step,user.self,sys.self,elapsed,plot_type
TOTAL,0.6379999999999981,0.04499999999999993,0.7310000000000088,BaseR
construct,0.0030000000000001137,0,0.0030000000000001137,lg_sctr
build,0.07699999999999818,0.052000000000000046,0.3459999999999894,lg_sctr
render,0.1039999999999992,0.013000000000000345,0.11999999999999034,lg_sctr
draw,0.7650000000000006,0.03600000000000003,0.8259999999999934,lg_sctr
TOTAL,0.9489999999999981,0.10100000000000042,1.2949999999999733,lg_sctr
construct,0.007999999999995566,0.008999999999999897,0.10199999999998965,sm_sctr
build,0.012999999999998124,0,0.013999999999995794,sm_sctr
render,0.05299999999999727,0.002000000000000224,0.05700000000000216,sm_sctr
draw,0.0730000000000004,9.999999999998899e-4,0.07699999999999818,sm_sctr
TOTAL,0.14699999999999136,0.01200000000000001,0.2499999999999858,sm_sctr
construct,0.003999999999997783,0,0.0040000000000048885,trans
build,0.06400000000000006,0.020999999999999908,0.08599999999999852,trans
render,0.13500000000000512,0.03399999999999981,0.26900000000000546,trans
draw,0.7530000000000001,0.03400000000000025,0.8050000000000068,trans
TOTAL,0.9560000000000031,0.08899999999999997,1.1640000000000157,trans
construct,0.009000000000000341,0.008999999999999897,0.11200000000000898,many_axis
build,0.06100000000000705,0.020000000000000018,0.08300000000001262,many_axis
render,0.10099999999999909,0.01200000000000001,0.11499999999999488,many_axis
draw,0.7869999999999919,0.04700000000000015,0.9549999999999983,many_axis
TOTAL,0.9579999999999984,0.08800000000000008,1.2650000000000148,many_axis
construct,0.0040000000000048885,0,0.0040000000000048885,no_lgd
build,0.08599999999999852,0.020999999999999908,0.10699999999999932,no_lgd
render,0.09000000000000341,0.0129999999999999,0.10299999999999443,no_lgd
draw,0.8010000000000019,0.04999999999999982,1.0379999999999967,no_lgd
TOTAL,0.9810000000000088,0.08399999999999963,1.2519999999999953,no_lgd
construct,0.0040000000000048885,9.999999999998899e-4,0.003999999999990678,sm_lgd_d
build,0.09000000000000341,0.020999999999999908,0.11299999999999955,sm_lgd_d
render,0.1529999999999916,0.01499999999999968,0.16899999999998272,sm_lgd_d
draw,0.8140000000000072,0.04899999999999993,0.9629999999999939,sm_lgd_d
TOTAL,1.061000000000007,0.08599999999999941,1.2489999999999668,sm_lgd_d
construct,0.0030000000000001137,0,0.002999999999985903,lg_lgd_d
build,0.09399999999999409,0.021999999999999797,0.11699999999999022,lg_lgd_d
render,0.26400000000001,0.016000000000000014,0.28000000000000114,lg_lgd_d
draw,0.757000000000005,0.02400000000000002,0.7840000000000202,lg_lgd_d
TOTAL,1.1180000000000092,0.06199999999999983,1.1839999999999975,lg_lgd_d
construct,0.006000000000000227,0.004000000000000448,0.02400000000000091,lgd_c
build,0.08100000000000307,0.03200000000000003,0.19700000000000273,lgd_c
render,0.10200000000000387,0.010999999999999677,0.11400000000000432,lgd_c
draw,0.7340000000000089,0.03699999999999992,0.8569999999999993,lgd_c
TOTAL,0.923000000000016,0.08400000000000007,1.1920000000000073,lgd_c
construct,0.0030000000000001137,0,0.003999999999990678,fct_5
build,0.07900000000000773,0.019999999999999574,0.09899999999998954,fct_5
render,0.18000000000000682,0.013999999999999346,0.1939999999999884,fct_5
draw,0.8010000000000019,0.040000000000000036,0.9199999999999875,fct_5
TOTAL,1.0630000000000166,0.07399999999999896,1.2169999999999561,fct_5
construct,0.0040000000000048885,0,0.003999999999990678,fct_35
build,0.14599999999998658,0.022999999999999687,0.16900000000001114,fct_35
render,0.402000000000001,0.013999999999999346,0.4170000000000016,fct_35
draw,0.9570000000000078,0.051000000000000156,1.0879999999999939,fct_35
TOTAL,1.5090000000000003,0.08799999999999919,1.6779999999999973,fct_35
construct,0.0030000000000001137,0,0.002999999999985903,ht_map
build,0.01300000000000523,0,0.013999999999981583,ht_map
render,0.07099999999999795,0.001000000000000334,0.07099999999999795,ht_map
draw,0.0589999999999975,0,0.060000000000002274,ht_map
TOTAL,0.1460000000000008,0.001000000000000334,0.1479999999999677,ht_map
construct,0.005000000000009663,0,0.006000000000000227,lyr2
build,0.14300000000000068,0.051000000000000156,0.27700000000001523,lyr2
render,0.12899999999999068,0.01100000000000012,0.14099999999999113,lyr2
