step,user.self,sys.self,elapsed,plot_type
TOTAL,0.028999999999996362,0.03700000000000081,0.20800000000008367,BaseR
construct,0.01300000000000523,0.017999999999998906,0.20699999999987995,lg_sctr
build,0.04899999999997817,0.01699999999999946,0.06799999999998363,lg_sctr
render,0.08799999999999386,0.00999999999999801,0.09900000000016007,lg_sctr
draw,0.117999999999995,0.010000000000001563,0.2059999999999036,lg_sctr
TOTAL,0.26799999999997226,0.05499999999999794,0.5799999999999272,lg_sctr
construct,0.0020000000000095497,0,0.0019999999999527063,sm_sctr
build,0.009000000000014552,0.0010000000000012221,0.010000000000218279,sm_sctr
render,0.03499999999999659,0,0.035000000000081855,sm_sctr
draw,0.03299999999998704,0.0010000000000012221,0.03700000000003456,sm_sctr
TOTAL,0.07900000000000773,0.0020000000000024443,0.0840000000002874,sm_sctr
construct,0.006000000000000227,0.006000000000000227,0.057999999999992724,trans
build,0.058000000000021146,0.027999999999998693,0.17000000000007276,trans
render,0.09200000000001296,0.011000000000002785,0.10400000000004184,trans
draw,0.09499999999999886,0.006000000000000227,0.15000000000009095,trans
TOTAL,0.2510000000000332,0.05100000000000193,0.48200000000019827,trans
construct,0.0049999999999954525,0.004000000000001336,0.020999999999958163,many_axis
build,0.0589999999999975,0.028999999999999915,0.17800000000011096,many_axis
render,0.07699999999999818,0.009000000000000341,0.08600000000001273,many_axis
draw,0.08500000000000796,0.004999999999999005,0.13200000000006185,many_axis
TOTAL,0.2259999999999991,0.0470000000000006,0.4170000000001437,many_axis
construct,0.0049999999999954525,0.005000000000002558,0.047000000000025466,no_lgd
build,0.08300000000002683,0.03100000000000236,0.20299999999997453,no_lgd
render,0.06099999999997863,0.009000000000000341,0.07000000000016371,no_lgd
draw,0.09000000000000341,0.004999999999999005,0.14000000000010004,no_lgd
TOTAL,0.23900000000000432,0.05000000000000426,0.46000000000026375,no_lgd
construct,0.003999999999990678,0.0030000000000001137,0.01999999999998181,sm_lgd_d
build,0.08799999999999386,0.028999999999999915,0.19699999999988904,sm_lgd_d
render,0.10499999999998977,0.010000000000001563,0.11400000000003274,sm_lgd_d
draw,0.12100000000000932,0.006000000000000227,0.17499999999995453,sm_lgd_d
TOTAL,0.31799999999998363,0.04800000000000182,0.5059999999998581,sm_lgd_d
construct,0.003999999999990678,0.004000000000001336,0.047000000000025466,lg_lgd_d
build,0.08199999999999363,0.027999999999998693,0.19000000000005457,lg_lgd_d
render,0.12000000000000455,0.010000000000001563,0.13000000000010914,lg_lgd_d
draw,0.17000000000001592,0.027000000000001023,0.33199999999987995,lg_lgd_d
TOTAL,0.3760000000000048,0.06900000000000261,0.6990000000000691,lg_lgd_d
construct,0.0010000000000047748,0,0.0019999999999527063,lgd_c
build,0.056000000000011596,0.01799999999999713,0.07400000000006912,lgd_c
render,0.08199999999999363,0.009000000000000341,0.09100000000012187,lgd_c
draw,0.10899999999998045,0.014000000000002899,0.18200000000001637,lgd_c
TOTAL,0.24799999999999045,0.04100000000000037,0.34900000000016007,lgd_c
construct,0.008000000000009777,0.009000000000000341,0.12099999999986721,fct_5
build,0.06999999999999318,0.01699999999999946,0.08600000000001273,fct_5
render,0.1490000000000009,0.009000000000000341,0.1590000000001055,fct_5
draw,0.12899999999999068,0.005000000000002558,0.18000000000006366,fct_5
TOTAL,0.35599999999999454,0.0400000000000027,0.5460000000000491,fct_5
construct,0.0020000000000095497,0,0.0019999999999527063,fct_35
build,0.13400000000001455,0.019999999999999574,0.15399999999999636,fct_35
render,0.34200000000001296,0.012000000000000455,0.3530000000000655,fct_35
draw,0.3060000000000116,0.03999999999999915,0.51299999999992,fct_35
TOTAL,0.7840000000000487,0.07199999999999918,1.0219999999999345,fct_35
construct,0.0010000000000047748,0,0.0019999999999527063,ht_map
build,0.008000000000009777,0,0.009000000000014552,ht_map
render,0.07800000000000296,0.01899999999999835,0.18800000000010186,ht_map
draw,0.057999999999992724,0.0010000000000012221,0.06100000000014916,ht_map
TOTAL,0.14500000000001023,0.019999999999999574,0.2600000000002183,ht_map
construct,0.0030000000000143245,0,0.0019999999999527063,lyr2
