step,user.self,sys.self,elapsed,plot_type
TOTAL,0.7810000000000059,0.022999999999999687,0.8059999999995853,BaseR
construct,0.006000000000028649,0.004000000000001336,0.028999999999996362,lg_sctr
build,0.06199999999995498,0.019000000000001904,0.08199999999987995,lg_sctr
render,0.1139999999999759,0.015000000000000568,0.13099999999985812,lg_sctr
draw,1.1580000000000155,0.06400000000000006,1.3669999999997344,lg_sctr
TOTAL,1.339999999999975,0.10200000000000387,1.6089999999994689,lg_sctr
construct,0.0030000000000427463,0,0.003000000000156433,sm_sctr
build,0.014999999999986358,0,0.01499999999987267,sm_sctr
render,0.045000000000015916,0,0.04599999999982174,sm_sctr
draw,0.06799999999998363,0.0020000000000024443,0.06900000000041473,sm_sctr
TOTAL,0.13100000000002865,0.0020000000000024443,0.13300000000026557,sm_sctr
construct,0.002999999999985903,0,0.003000000000156433,trans
build,0.06100000000003547,0.01799999999999713,0.07899999999972351,trans
render,0.09399999999999409,0.010999999999999233,0.10500000000001819,trans
draw,1.1589999999999918,0.06300000000000239,1.3640000000000327,trans
TOTAL,1.3170000000000073,0.09199999999999875,1.5509999999999309,trans
construct,0.002999999999985903,0,0.003000000000156433,many_axis
build,0.060000000000002274,0.018000000000000682,0.07699999999977081,many_axis
render,0.09399999999999409,0.010999999999999233,0.10600000000022192,many_axis
draw,1.1510000000000105,0.04899999999999949,1.2409999999999854,many_axis
TOTAL,1.3079999999999927,0.0779999999999994,1.4270000000001346,many_axis
construct,0.011000000000024102,0.012000000000000455,0.12199999999984357,no_lgd
build,0.08699999999998909,0.019999999999999574,0.1069999999999709,no_lgd
render,0.07699999999999818,0.010999999999999233,0.08699999999998909,no_lgd
draw,1.1470000000000482,0.047999999999998266,1.23700000000008,no_lgd
TOTAL,1.3220000000000596,0.09099999999999753,1.5529999999998836,no_lgd
construct,0.009999999999990905,0.012000000000000455,0.13400000000001455,sm_lgd_d
build,0.08899999999999864,0.019999999999999574,0.10799999999971988,sm_lgd_d
render,0.12700000000000955,0.012000000000000455,0.13799999999991996,sm_lgd_d
draw,1.211999999999989,0.06400000000000006,1.4090000000001055,sm_lgd_d
TOTAL,1.4379999999999882,0.10800000000000054,1.78899999999976,sm_lgd_d
construct,0.0030000000000427463,0,0.003000000000156433,lg_lgd_d
build,0.08799999999996544,0.021000000000000796,0.10799999999971988,lg_lgd_d
render,0.1430000000000291,0.012000000000000455,0.1540000000004511,lg_lgd_d
draw,1.3400000000000318,0.07699999999999818,1.5820000000003347,lg_lgd_d
TOTAL,1.5740000000000691,0.10999999999999943,1.8470000000006621,lg_lgd_d
construct,0.0030000000000427463,0,0.0029999999997016857,lgd_c
build,0.07599999999996498,0.021999999999998465,0.09700000000066211,lgd_c
render,0.11299999999999955,0.013999999999999346,0.1290000000008149,lgd_c
draw,1.2490000000000236,0.07600000000000051,1.4789999999993597,lgd_c
TOTAL,1.441000000000031,0.11199999999999832,1.7080000000005384,lgd_c
construct,0.002999999999985903,0,0.0030000000006111804,fct_5
build,0.09100000000000819,0.021000000000000796,0.11200000000008004,fct_5
render,0.18600000000003547,0.010999999999999233,0.19800000000032014,fct_5
draw,1.3489999999999895,0.08300000000000196,1.6149999999997817,fct_5
TOTAL,1.629000000000019,0.11500000000000199,1.928000000000793,fct_5
construct,0.004000000000019099,0,0.0039999999999054126,fct_35
build,0.19500000000005002,0.03200000000000003,0.23299999999926513,fct_35
render,0.48099999999999454,0.038000000000000256,0.5770000000002256,fct_35
draw,1.5760000000000218,0.0990000000000002,1.84900000000016,fct_35
TOTAL,2.2560000000000855,0.16900000000000048,2.662999999999556,fct_35
construct,0.002999999999985903,0,0.0029999999997016857,ht_map
build,0.018999999999948614,0.0010000000000012221,0.01900000000023283,ht_map
render,0.08300000000002683,0.0010000000000012221,0.08399999999983265,ht_map
draw,0.10099999999999909,0.0259999999999998,0.25900000000001455,ht_map
TOTAL,0.20599999999996044,0.028000000000002245,0.3649999999997817,ht_map
construct,0.006000000000028649,9.999999999976694e-4,0.005000000000109139,lyr2
build,0.15099999999995362,0.045999999999999375,0.2290000000002692,lyr2
render,0.1419999999999959,0.012999999999998124,0.15599999999994907,lyr2
draw,1.2440000000000282,0.07199999999999918,1.456000000000131,lyr2
TOTAL,1.5430000000000064,0.13199999999999434,1.8460000000004584,lyr2
construct,0.004000000000019099,0,0.0039999999999054126,lyr3
build,25.53200000000004,0.16300000000000026,25.830000000000837,lyr3
render,0.12400000000002365,0.012000000000000455,0.1359999999995125,lyr3
draw,1.1510000000000105,0.05099999999999838,1.2160000000003492,lyr3
TOTAL,26.811000000000092,0.2259999999999991,27.186000000000604,lyr3
construct,0.004000000000019099,0.003999999999997783,0.03300000000035652,hist
build,0.07100000000002638,0.008999999999996788,0.07800000000042928,hist
render,0.11099999999999,0.021000000000000796,0.2110000000002401,hist
draw,0.06499999999999773,0,0.06499999999959982,hist
TOTAL,0.2510000000000332,0.03399999999999537,0.38700000000062573,hist
construct,0.0020000000000095497,0,0.0020000000004074536,hist_dg
build,0.06899999999995998,0.0070000000000014495,0.0749999999998181,hist_dg
render,0.11400000000003274,0.02500000000000213,0.23300000000017462,hist_dg
draw,0.06499999999999773,0,0.06599999999980355,hist_dg
TOTAL,0.25,0.03200000000000358,0.3760000000002037,hist_dg
construct,0.0020000000000095497,0,0.0020000000004074536,hist_mny_bns
build,0.14999999999997726,0.0259999999999998,0.20200000000022555,hist_mny_bns
render,0.1139999999999759,0.022999999999999687,0.22800000000006548,hist_mny_bns
draw,0.06600000000003092,0,0.06700000000000728,hist_mny_bns
TOTAL,0.33199999999999363,0.04899999999999949,0.49900000000070577,hist_mny_bns
construct,0.0020000000000095497,0,0.001999999999497959,maps_us
build,0.012999999999976808,9.999999999976694e-4,0.014000000000123691,maps_us
render,0.04699999999996862,0.007999999999999119,0.068000000000211,maps_us
draw,0.051999999999964075,0.012999999999998124,0.14500000000043656,maps_us
TOTAL,0.11399999999991905,0.021999999999994913,0.2290000000002692,maps_us
construct,0.0030000000000427463,0,0.0020000000004074536,maps_sts
build,0.018000000000029104,0.0020000000000024443,0.019999999999527063,maps_sts
render,0.04599999999999227,0.007999999999999119,0.07900000000063301,maps_sts
draw,0.060000000000002274,0.018000000000000682,0.1790000000000873,maps_sts
TOTAL,0.1270000000000664,0.028000000000002245,0.28000000000065484,maps_sts
construct,0.002999999999985903,0,0.0039999999999054126,sf_many
build,0.04399999999998272,0.0019999999999988916,0.04699999999957072,sf_many
render,0.03699999999997772,0.0010000000000012221,0.03799999999955617,sf_many
draw,0.03100000000000591,0,0.032000000000152795,sf_many
TOTAL,0.11499999999995225,0.0030000000000001137,0.12099999999918509,sf_many
construct,0.004000000000019099,0.0030000000000001137,0.021999999999934516,sf_one
build,0.06700000000000728,0.015999999999998238,0.1639999999997599,sf_one
render,0.42099999999999227,0.02400000000000091,0.47000000000025466,sf_one
draw,0.06099999999997863,0.0010000000000012221,0.06099999999969441,sf_one
TOTAL,0.5529999999999973,0.04400000000000048,0.7169999999996435,sf_one
